iter	Logloss
0	0.6707948946
1	0.6509411952
2	0.631217913
3	0.6140864623
4	0.5982303938
5	0.5853425235
6	0.573638341
7	0.5645370433
8	0.5543035321
9	0.5492209829
10	0.5414320754
11	0.5335952988
12	0.5286113863
13	0.5227247965
14	0.5167659178
15	0.5107445684
16	0.5064171892
17	0.5020236642
18	0.4997137727
19	0.4973111512
20	0.4953856981
21	0.4910428601
22	0.4873353295
23	0.4852660591
24	0.4816462115
25	0.4794946378
26	0.4768544692
27	0.4746386416
28	0.4728445915
29	0.4711268079
30	0.4697002805
31	0.4679171185
32	0.4667482565
33	0.4644419726
34	0.4620772827
35	0.4602115828
36	0.4582337131
37	0.4570823703
38	0.455723607
39	0.4540705278
40	0.4529687947
41	0.4522397292
42	0.4512526517
43	0.450314131
44	0.4493005065
45	0.4483595018
46	0.4473938187
47	0.446072255
48	0.4448880937
49	0.4444511207
50	0.4440175319
51	0.4427121794
52	0.4417342291
53	0.4410564135
54	0.4400466505
55	0.4390638934
56	0.4381865259
57	0.4373211637
58	0.4365816047
59	0.4358949059
60	0.4353199344
61	0.434544571
62	0.4338560557
63	0.4330851697
64	0.432529037
65	0.4318020277
66	0.4310801926
67	0.4305489563
68	0.4300001149
69	0.4290459135
70	0.4283899136
71	0.4281263688
72	0.4279010137
73	0.426668712
74	0.4257543154
75	0.4248951045
76	0.4244772294
77	0.4238110303
78	0.4232490657
79	0.422419179
80	0.4221136378
81	0.4216430601
82	0.4212418425
83	0.4209895902
84	0.4204085839
85	0.4197109963
86	0.4189255957
87	0.4182181017
88	0.4175577366
89	0.4172345834
90	0.4168887832
91	0.4165838775
92	0.4159729109
93	0.4153988396
94	0.4148977338
95	0.4138650141
96	0.4133267145
97	0.4131597382
98	0.4127541726
99	0.4122377521
