iter	Passed	Remaining
0	1	155
1	2	110
2	2	92
3	3	84
4	4	78
5	4	73
6	5	71
7	6	69
8	6	68
9	7	66
10	8	64
11	8	63
12	9	61
13	9	60
14	10	60
15	11	58
16	11	57
17	12	57
18	13	57
19	14	56
20	14	55
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	49
28	20	49
29	20	48
30	21	47
31	21	46
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	26	41
39	27	41
40	27	40
41	28	39
42	29	38
43	29	37
44	30	37
45	30	36
46	31	35
47	32	34
48	32	33
49	33	33
50	33	32
51	34	31
52	35	31
53	36	30
54	37	30
55	37	29
56	38	28
57	39	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	52	14
79	53	13
80	54	12
81	54	12
82	55	11
83	55	10
84	56	9
85	57	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	61	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
